2023-08-13T01:19:40.706498200
Участник Женя, номер 0, ваш приз поезд
Участник Петя, номер 1, ваш приз поезд
Участник Света, номер 2, ваш приз пазл
Участник Таня, номер 3, ваш приз пазл
Участник Женя, номер 4, ваш приз пазл
Участник Вася, номер 5, ваш приз пазл
Участник Маша, номер 6, ваш приз пазл
Участник Денис, номер 7, ваш приз пазл
Участник Катя, номер 8, ваш приз пазл
Участник Оля, номер 9, ваш приз пазл
2023-08-13T01:20:12.344630600
Участник Женя, номер 0, ваш приз пазл
Участник Петя, номер 1, ваш приз пазл
Участник Света, номер 2, ваш приз конструктор
Участник Таня, номер 3, ваш приз плюшевый мишка 
Участник Женя, номер 4, ваш приз робот
Участник Вася, номер 5, ваш приз конструктор
Участник Маша, номер 6, ваш приз пазл
Участник Денис, номер 7, ваш приз робот
Участник Катя, номер 8, ваш приз кукла
Участник Оля, номер 9, ваш приз пазл
2023-08-13T01:29:31.384249900
Участник Женя, номер 0, ваш приз кубики
Участник Петя, номер 1, ваш приз плюшевый медведь 
Участник Света, номер 2, ваш приз кукла
Участник Таня, номер 3, ваш приз кубики
Участник Женя, номер 4, ваш приз плюшевый медведь 
Участник Вася, номер 5, ваш приз машинка
Участник Маша, номер 6, ваш приз робот
Участник Денис, номер 7, ваш приз пазл
Участник Катя, номер 8, ваш приз кукла
Участник Оля, номер 9, ваш приз пазл
